field_filter,hobby_coding,hobby_gaming,hobby_reading,hobby_writing,hobby_music,hobby_drawing_art,hobby_sports,hobby_cooking,hobby_photography,hobby_travel,hobby_science_experiments,hobby_volunteering,hobby_debating,hobby_robotics,hobby_fashion,hobby_business_trading,grade_math,grade_science,grade_lang,grade_social,grade_cs,score_analytical,score_numeric,score_verbal,score_creative,score_social,top_course_1,top_course_2,top_course_3,top_course_4,top_course_5
Education,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,51,41,91,95,38,59,52,95,33,92,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
Science,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,68,80,46,47,90,80,76,46,93,46,MSc Physics,MSc Chemistry,Graduate Certificate in Biology,PhD Biochemistry,Graduate Certificate in Microbiology
Law,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,62,61,82,57,65,70,72,76,48,56,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
Science,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,100,66,57,42,57,84,91,49,44,69,MSc Physics,MSc Chemistry,Graduate Certificate in Biology,PhD Biochemistry,Graduate Certificate in Microbiology
all,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,100,70,37,18,78,89,88,26,60,36,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
all,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,84,83,60,56,74,87,84,49,78,88,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Media,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,67,70,85,81,65,75,52,87,81,63,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
Law,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,78,42,100,95,47,89,61,93,29,95,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
all,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,79,56,82,67,46,65,83,79,55,55,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Arts,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,29,59,90,68,66,55,47,80,80,60,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
all,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,56,93,65,51,81,70,64,81,96,53,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
all,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,53,46,85,88,69,67,51,82,84,80,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
Media,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,37,47,81,81,79,66,29,78,95,67,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
all,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,62,38,63,67,68,75,60,76,57,85,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,70,94,65,71,86,69,77,88,90,62,LLM Law,LLM Corporate Law,LLB International Law,Graduate Diploma in Medicine,MSc Nursing
Architecture,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,93,74,80,84,94,93,76,81,98,81,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
all,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,73,79,84,74,50,67,73,82,72,57,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
all,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,67,63,69,67,80,65,47,70,92,77,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,81,72,46,28,71,90,92,54,52,25,BEng Software Engineering,BEng Computer Engineering,Graduate Diploma in Robotics Engineering,BEng Mechanical Engineering,PhD Civil Engineering
all,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,84,72,75,65,44,65,69,82,34,68,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
all,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,52,69,73,57,42,52,63,58,66,78,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Social Science,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,59,44,100,89,65,68,48,94,60,70,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
Engineering,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,94,63,89,57,81,88,79,61,54,70,BEng Software Engineering,BEng Computer Engineering,Graduate Diploma in Robotics Engineering,BEng Mechanical Engineering,PhD Civil Engineering
Media,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,77,77,100,69,79,79,46,96,78,65,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
all,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,89,80,37,69,89,91,100,35,74,88,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
Social Science,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,62,59,52,64,76,85,50,62,68,77,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
all,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,56,49,56,54,35,45,52,62,50,78,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,43,14,87,71,49,72,30,79,35,77,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Arts,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,55,63,100,79,49,44,57,100,83,69,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
all,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,43,23,100,76,68,61,41,78,47,80,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
STEM,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,67,94,84,67,78,71,84,85,75,55,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
Business,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,65,48,80,92,64,67,58,81,31,67,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Education,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,54,49,71,69,38,71,67,74,31,77,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
all,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,38,68,69,52,58,52,46,50,78,86,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
Education,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,88,53,100,70,70,66,58,82,67,84,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
Law,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71,50,65,67,56,61,60,71,57,76,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
all,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,79,73,83,80,47,69,66,81,80,53,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Arts,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,49,55,75,64,55,52,41,77,83,65,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
Law,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,70,62,86,75,72,61,62,81,61,80,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
Media,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,55,65,93,74,54,66,56,88,70,62,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
Media,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,69,59,72,62,80,72,40,79,82,61,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
all,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,65,62,58,56,60,69,63,52,70,65,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Architecture,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,86,93,84,78,69,71,75,79,77,75,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
all,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,54,54,52,79,75,73,41,58,92,100,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Business,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,89,87,83,72,85,94,77,75,72,70,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
all,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,100,87,69,59,75,100,68,72,60,38,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
all,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,63,79,82,62,66,73,85,63,74,73,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,59,52,43,58,76,65,75,54,79,58,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,98,81,58,55,47,69,98,64,46,57,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,96,65,58,88,72,81,87,61,59,62,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
all,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,78,88,50,37,61,73,90,42,59,43,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
Science,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,83,88,60,37,82,71,89,53,79,36,MSc Physics,MSc Chemistry,Graduate Certificate in Biology,PhD Biochemistry,Graduate Certificate in Microbiology
all,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,88,73,9,49,85,72,98,26,73,60,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
Law,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,54,73,93,82,75,74,61,76,60,69,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
Arts,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,37,69,91,72,67,50,54,100,90,43,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
all,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,80,82,65,33,75,90,79,50,73,36,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
all,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,59,72,61,80,65,58,54,66,65,88,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
Health,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,76,60,90,78,82,87,61,89,46,65,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,83,64,85,73,61,83,58,70,69,91,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Media,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,71,64,82,75,100,91,50,93,93,84,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
Media,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,48,66,59,49,83,61,38,57,89,88,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
all,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,81,83,73,64,62,72,94,83,60,48,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
all,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,61,82,81,57,91,48,73,79,79,71,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Business,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,77,98,70,71,77,76,74,77,80,89,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Architecture,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,65,86,52,71,74,59,80,57,93,76,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
Architecture,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,69,81,82,67,88,82,56,88,88,45,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
all,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,62,49,73,100,65,65,26,77,80,78,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
all,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,59,52,51,73,66,61,72,68,50,78,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,96,81,47,58,62,79,79,54,35,74,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,42,58,82,82,56,60,47,89,77,47,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
Education,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,68,68,100,89,85,78,62,98,82,84,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
Arts,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,37,65,69,75,64,59,41,70,71,79,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
Education,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,54,62,72,64,41,39,62,72,62,89,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
Education,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,83,80,72,83,59,60,66,71,67,91,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
Architecture,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,75,88,47,33,65,75,90,52,83,41,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
Engineering,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,82,64,63,46,65,76,82,56,73,48,BEng Software Engineering,BEng Computer Engineering,Graduate Diploma in Robotics Engineering,BEng Mechanical Engineering,PhD Civil Engineering
all,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,85,78,77,74,60,86,95,69,48,66,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Arts,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,60,61,64,70,68,86,69,63,88,75,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
Architecture,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,62,100,75,70,88,65,86,65,100,69,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
Science,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,80,94,98,75,100,99,62,89,100,28,MSc Physics,MSc Chemistry,Graduate Certificate in Biology,PhD Biochemistry,Graduate Certificate in Microbiology
all,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,61,99,66,86,95,67,72,77,97,60,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,69,63,70,79,56,38,65,60,76,83,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,62,69,82,93,71,81,65,87,82,70,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
Arts,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,56,93,78,86,76,61,55,86,93,73,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
Arts,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,49,60,75,60,60,41,49,81,68,63,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
all,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,93,75,46,52,68,89,92,52,47,56,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
all,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,58,53,88,79,74,70,52,85,56,70,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
all,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,96,65,85,56,82,86,75,84,67,39,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
STEM,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,57,69,85,70,81,72,70,72,76,57,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
all,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,94,87,42,79,91,82,82,59,87,88,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Science,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,79,85,53,41,74,76,78,49,68,58,MSc Physics,MSc Chemistry,Graduate Certificate in Biology,PhD Biochemistry,Graduate Certificate in Microbiology
Business,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,89,44,75,73,69,100,76,83,52,78,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
all,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,48,63,100,79,58,46,66,84,76,73,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Education,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,64,44,78,82,34,48,47,71,43,73,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
STEM,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,68,55,78,53,54,64,68,71,67,44,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
all,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,68,72,88,73,85,70,75,75,53,85,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,66,70,70,65,89,64,69,68,100,87,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,39,75,68,75,67,38,63,85,85,62,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
Media,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,69,65,97,69,64,56,50,91,76,54,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
all,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,86,71,100,63,60,65,92,89,41,60,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Media,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,69,45,90,69,62,60,37,88,81,62,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
all,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,53,64,84,47,77,64,61,76,79,50,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Law,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,66,52,75,81,73,62,54,78,67,73,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
Architecture,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,34,68,44,24,58,48,54,44,84,43,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
Education,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,65,54,65,90,51,67,45,83,68,89,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
all,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,66,95,59,70,66,64,75,64,89,80,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,67,47,93,86,69,67,74,90,60,75,LLM Law,LLM Corporate Law,LLB International Law,Graduate Diploma in Medicine,MSc Nursing
all,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,13,62,45,65,60,47,21,64,81,70,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
Law,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,92,60,100,81,86,92,46,86,88,77,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
Law,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,68,40,100,80,59,85,61,91,25,78,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
all,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,92,88,74,84,51,80,100,77,78,85,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,78,70,23,37,68,80,71,41,47,64,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Architecture,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,67,71,64,43,80,65,65,74,84,44,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
Architecture,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,65,71,48,71,80,69,80,65,82,55,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
Architecture,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,73,89,52,61,65,63,92,58,69,35,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
Arts,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,57,81,67,68,66,57,53,67,89,90,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
all,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,40,72,64,59,61,43,80,69,85,64,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
Business,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,89,77,72,84,72,68,92,77,50,86,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
all,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,66,61,71,69,70,82,66,58,93,44,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
Science,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,97,81,56,50,85,100,89,57,86,50,MSc Physics,MSc Chemistry,Graduate Certificate in Biology,PhD Biochemistry,Graduate Certificate in Microbiology
STEM,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,87,96,78,77,71,78,92,77,97,55,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
all,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,59,65,81,73,88,75,61,76,87,52,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Architecture,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,61,68,66,91,75,66,67,63,93,87,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
all,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,100,78,44,58,74,96,81,43,81,43,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
Engineering,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,72,83,78,84,65,66,89,84,75,35,BEng Software Engineering,BEng Computer Engineering,Graduate Diploma in Robotics Engineering,BEng Mechanical Engineering,PhD Civil Engineering
Architecture,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,82,74,89,82,91,84,86,89,99,65,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
Architecture,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,89,87,78,41,65,59,75,64,75,55,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
